BestLapTime,LapsComplete,PositionStart,Status,Driver,Team,TrackType,Track,PositionFinish
01:08.2,90,3,0,Alex Palou,Chip Ganassi Racing,Road,BAR,2
01:09.1,90,2,0,Alex Palou,Chip Ganassi Racing,Road,BAR,5
01:08.5,90,10,0,Alex Palou,Chip Ganassi Racing,Road,BAR,5
01:09.0,90,1,0,Alex Palou,Chip Ganassi Racing,Road,BAR,1
01:09.6,90,5,0,Alexander Rossi,Andretti Global,Road,BAR,9
01:08.6,90,10,0,Alexander Rossi,Arrow McLaren,Road,BAR,8
01:08.1,60,16,1,Alexander Rossi,Arrow McLaren,Road,BAR,25
01:09.6,90,15,0,Alexander Rossi,Ed Carpenter Racing,Road,BAR,8
01:09.6,88,11,0,Callum Ilott,Juncos Hollinger Racing,Road,BAR,25
01:08.7,90,15,0,Callum Ilott,Juncos Hollinger Racing,Road,BAR,13
01:09.6,89,16,0,Callum Ilott,PREMA Racing,Road,BAR,23
01:09.5,90,7,0,Christian Lundgaard,Arrow McLaren,Road,BAR,2
01:09.2,90,14,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,BAR,15
01:09.4,90,6,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,BAR,6
01:08.2,90,3,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,BAR,6
01:08.5,89,14,0,Christian Rasmussen,Ed Carpenter Racing,Road,BAR,24
01:10.0,90,17,0,Christian Rasmussen,Ed Carpenter Racing,Road,BAR,15
01:09.5,90,3,0,Colton Herta,Andretti Global,Road,BAR,7
01:08.4,90,10,0,Colton Herta,Andretti Global,Road,BAR,10
01:08.7,90,14,0,Colton Herta,Andretti Global,Road,BAR,14
01:08.8,90,15,0,Colton Herta,Andretti Global,Road,BAR,8
01:09.1,90,22,0,Conor Daly,Ed Carpenter Racing,Road,BAR,19
01:08.4,90,20,0,Conor Daly,Ed Carpenter Racing,Road,BAR,25
01:09.9,89,19,0,Conor Daly,Juncos Hollinger Racing,Road,BAR,19
01:09.7,90,20,0,David Malukas,A.J. Foyt Enterprises,Road,BAR,16
01:09.9,90,18,0,David Malukas,Dale Coyne Racing,Road,BAR,20
01:09.2,90,17,0,David Malukas,Dale Coyne Racing,Road,BAR,19
01:09.4,90,20,0,Devlin DeFrancesco,Andretti Global,Road,BAR,17
01:09.7,90,18,0,Devlin DeFrancesco,Andretti Global,Road,BAR,23
01:10.1,89,27,0,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Road,BAR,24
01:09.6,90,6,0,Felix Rosenqvist,Arrow McLaren,Road,BAR,16
01:08.4,90,8,0,Felix Rosenqvist,Arrow McLaren,Road,BAR,9
01:09.0,90,5,0,Felix Rosenqvist,Meyer Shank Racing,Road,BAR,4
01:09.8,90,14,0,Felix Rosenqvist,Meyer Shank Racing,Road,BAR,13
01:09.5,90,9,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,BAR,8
01:09.0,90,19,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,BAR,17
01:09.3,90,7,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,BAR,11
01:09.6,90,21,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,BAR,14
01:10.5,88,25,0,Jacob Abel,Dale Coyne Racing,Road,BAR,27
01:08.6,90,7,0,Josef Newgarden,Team Penske,Road,BAR,14
01:08.2,90,7,0,Josef Newgarden,Team Penske,Road,BAR,15
01:08.3,90,8,0,Josef Newgarden,Team Penske,Road,BAR,16
01:09.2,90,9,0,Josef Newgarden,Team Penske,Road,BAR,10
01:08.6,90,23,0,Kyffin Simpson,Chip Ganassi Racing,Road,BAR,14
01:09.8,89,10,0,Kyffin Simpson,Chip Ganassi Racing,Road,BAR,21
01:09.1,89,21,0,Kyle Kirkwood,A.J. Foyt Enterprises,Road,BAR,22
01:08.9,90,12,0,Kyle Kirkwood,Andretti Global,Road,BAR,12
01:09.0,90,9,0,Kyle Kirkwood,Andretti Global,Road,BAR,10
01:09.5,90,18,0,Kyle Kirkwood,Andretti Global,Road,BAR,11
01:09.9,88,12,0,Louis Foster,Rahal Letterman Lanigan Racing,Road,BAR,26
01:09.1,90,26,0,Marcus Armstrong,Chip Ganassi Racing,Road,BAR,11
01:09.1,90,6,0,Marcus Armstrong,Chip Ganassi Racing,Road,BAR,9
01:09.6,89,11,0,Marcus Armstrong,Meyer Shank Racing,Road,BAR,17
01:08.9,90,18,0,Marcus Ericsson,Andretti Global,Road,BAR,18
01:09.5,89,23,0,Marcus Ericsson,Andretti Global,Road,BAR,20
01:08.7,90,12,0,Marcus Ericsson,Chip Ganassi Racing,Road,BAR,12
01:08.9,90,13,0,Marcus Ericsson,Chip Ganassi Racing,Road,BAR,10
01:09.4,90,6,0,Nolan Siegel,Arrow McLaren,Road,BAR,9
01:09.0,90,2,0,Pato O'Ward,Arrow McLaren,Road,BAR,1
01:09.2,90,3,0,Pato O'Ward,Arrow McLaren,Road,BAR,4
01:08.7,90,4,0,Pato O'Ward,Arrow McLaren,Road,BAR,23
01:09.5,90,8,0,Pato O'Ward,Arrow McLaren,Road,BAR,6
01:09.4,90,5,0,Rinus VeeKay,Dale Coyne Racing,Road,BAR,4
01:08.9,90,1,0,Rinus VeeKay,Ed Carpenter Racing,Road,BAR,3
01:09.5,90,9,0,Rinus VeeKay,Ed Carpenter Racing,Road,BAR,16
01:08.9,90,27,0,Rinus VeeKay,Ed Carpenter Racing,Road,BAR,17
01:10.0,89,24,0,Robert Shwartzman,PREMA Racing,Road,BAR,25
01:09.3,90,27,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,BAR,20
01:08.4,90,17,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,BAR,7
01:09.2,89,13,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,BAR,18
01:09.2,90,13,0,Scott Dixon,Chip Ganassi Racing,Road,BAR,5
01:08.7,90,5,0,Scott Dixon,Chip Ganassi Racing,Road,BAR,7
01:08.5,90,13,0,Scott Dixon,Chip Ganassi Racing,Road,BAR,15
01:09.6,90,26,0,Scott Dixon,Chip Ganassi Racing,Road,BAR,12
01:09.4,90,4,0,Scott McLaughlin,Team Penske,Road,BAR,6
01:08.5,90,4,0,Scott McLaughlin,Team Penske,Road,BAR,1
01:07.8,90,1,0,Scott McLaughlin,Team Penske,Road,BAR,1
01:09.4,90,2,0,Scott McLaughlin,Team Penske,Road,BAR,3
01:09.2,54,25,1,Sting Ray Robb,A.J. Foyt Enterprises,Road,BAR,26
01:09.2,36,23,1,Sting Ray Robb,Dale Coyne Racing,Road,BAR,27
01:09.9,89,22,0,Sting Ray Robb,Juncos Hollinger Racing,Road,BAR,22
01:09.2,90,19,0,Will Power,Team Penske,Road,BAR,4
01:07.8,90,11,0,Will Power,Team Penske,Road,BAR,3
01:07.8,90,2,0,Will Power,Team Penske,Road,BAR,2
01:09.6,90,4,0,Will Power,Team Penske,Road,BAR,5
01:17.2,70,18,0,Alex Palou,Chip Ganassi Racing,Street,BEL,6
01:16.5,70,11,0,Alexander Rossi,Andretti Global,Street,BEL,2
01:17.1,70,19,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,BEL,14
01:16.7,70,7,0,Colton Herta,Andretti Global,Street,BEL,8
01:16.9,70,13,0,Conor Daly,Ed Carpenter Racing,Street,BEL,12
01:16.4,70,6,0,David Malukas,Dale Coyne Racing,Street,BEL,11
01:18.0,69,21,0,Devlin DeFrancesco,Andretti Global,Street,BEL,18
01:16.5,70,25,0,Felix Rosenqvist,Arrow McLaren,Street,BEL,10
01:21.4,2,23,1,Graham Rahal,Rahal Letterman Lanigan Racing,Street,BEL,26
01:16.6,70,1,0,Josef Newgarden,Team Penske,Street,BEL,4
01:17.2,49,15,1,Kyle Kirkwood,A.J. Foyt Enterprises,Street,BEL,24
01:16.8,70,8,0,Marcus Ericsson,Chip Ganassi Racing,Street,BEL,7
01:16.8,70,5,0,Pato O'Ward,Arrow McLaren,Street,BEL,5
01:16.9,69,14,1,Rinus VeeKay,Ed Carpenter Racing,Street,BEL,16
01:18.0,68,17,0,Santino Ferrucci,Juncos Hollinger Racing,Street,BEL,21
01:17.0,70,9,0,Scott Dixon,Chip Ganassi Racing,Street,BEL,3
01:17.3,69,10,0,Scott McLaughlin,Team Penske,Street,BEL,19
01:16.6,70,16,0,Will Power,Team Penske,Street,BEL,1
01:02.1,100,1,0,Alex Palou,Chip Ganassi Racing,Street,DET,1
01:03.4,100,2,0,Alex Palou,Chip Ganassi Racing,Street,DET,16
01:02.4,72,5,1,Alex Palou,Chip Ganassi Racing,Street,DET,25
01:02.1,100,13,0,Alexander Rossi,Arrow McLaren,Street,DET,5
01:03.4,100,16,0,Alexander Rossi,Arrow McLaren,Street,DET,5
01:03.0,100,15,0,Alexander Rossi,Ed Carpenter Racing,Street,DET,10
01:30.3,1,16,1,Callum Ilott,Juncos Hollinger Racing,Street,DET,27
01:02.9,66,17,1,Callum Ilott,PREMA Racing,Street,DET,26
01:02.7,100,4,0,Christian Lundgaard,Arrow McLaren,Street,DET,8
01:02.3,100,18,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,DET,16
01:03.1,100,11,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,DET,11
01:03.3,24,13,1,Christian Rasmussen,Ed Carpenter Racing,Street,DET,27
01:02.7,80,10,1,Christian Rasmussen,Ed Carpenter Racing,Street,DET,24
01:02.4,100,1,0,Colton Herta,Andretti Global,Street,DET,3
01:02.7,100,24,0,Colton Herta,Andretti Global,Street,DET,11
01:02.7,99,1,0,Colton Herta,Andretti Global,Street,DET,19
01:02.8,100,15,0,Conor Daly,Ed Carpenter Racing,Street,DET,15
01:02.8,100,25,0,Conor Daly,Juncos Hollinger Racing,Street,DET,17
01:02.3,100,2,0,David Malukas,A.J. Foyt Enterprises,Street,DET,14
01:02.4,85,21,1,David Malukas,Dale Coyne Racing,Street,DET,23
01:02.4,100,17,0,Devlin DeFrancesco,Andretti Global,Street,DET,12
01:03.1,83,23,1,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Street,DET,23
01:02.1,100,9,0,Felix Rosenqvist,Arrow McLaren,Street,DET,3
01:03.0,100,22,0,Felix Rosenqvist,Meyer Shank Racing,Street,DET,8
01:03.0,83,14,1,Felix Rosenqvist,Meyer Shank Racing,Street,DET,21
01:03.1,50,27,1,Graham Rahal,Rahal Letterman Lanigan Racing,Street,DET,25
01:03.5,100,20,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,DET,15
01:03.2,97,11,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,DET,20
01:03.7,100,20,0,Jacob Abel,Dale Coyne Racing,Street,DET,18
01:02.3,100,5,0,Josef Newgarden,Team Penske,Street,DET,10
01:03.4,94,3,0,Josef Newgarden,Team Penske,Street,DET,26
01:02.6,100,24,0,Josef Newgarden,Team Penske,Street,DET,9
01:03.1,96,27,0,Kyffin Simpson,Chip Ganassi Racing,Street,DET,24
01:02.2,100,19,0,Kyffin Simpson,Chip Ganassi Racing,Street,DET,5
01:01.9,100,12,0,Kyle Kirkwood,Andretti Global,Street,DET,6
01:03.4,100,6,0,Kyle Kirkwood,Andretti Global,Street,DET,4
01:02.4,100,3,0,Kyle Kirkwood,Andretti Global,Street,DET,1
01:02.6,83,13,1,Louis Foster,Rahal Letterman Lanigan Racing,Street,DET,22
01:02.3,100,11,0,Marcus Armstrong,Chip Ganassi Racing,Street,DET,8
01:03.7,100,19,0,Marcus Armstrong,Chip Ganassi Racing,Street,DET,3
01:03.1,100,9,0,Marcus Armstrong,Meyer Shank Racing,Street,DET,6
01:03.2,100,9,0,Marcus Ericsson,Andretti Global,Street,DET,2
01:02.3,100,12,0,Marcus Ericsson,Andretti Global,Street,DET,13
01:02.1,100,6,0,Marcus Ericsson,Chip Ganassi Racing,Street,DET,9
01:02.9,98,27,0,Nolan Siegel,Arrow McLaren,Street,DET,19
01:02.6,41,10,1,Pato O'Ward,Arrow McLaren,Street,DET,26
01:03.5,100,12,0,Pato O'Ward,Arrow McLaren,Street,DET,7
01:02.8,100,18,0,Pato O'Ward,Arrow McLaren,Street,DET,7
01:04.3,6,6,1,Rinus VeeKay,Dale Coyne Racing,Street,DET,27
01:02.6,100,14,0,Rinus VeeKay,Ed Carpenter Racing,Street,DET,18
01:03.3,100,18,0,Rinus VeeKay,Ed Carpenter Racing,Street,DET,14
01:02.8,100,22,0,Robert Shwartzman,PREMA Racing,Street,DET,16
01:02.9,97,22,0,Santino Ferrucci,A.J. Foyt Enterprises,Street,DET,21
01:03.1,100,10,0,Santino Ferrucci,A.J. Foyt Enterprises,Street,DET,9
01:02.8,100,21,0,Santino Ferrucci,A.J. Foyt Enterprises,Street,DET,2
01:02.2,100,4,0,Scott Dixon,Chip Ganassi Racing,Street,DET,4
01:03.4,100,5,0,Scott Dixon,Chip Ganassi Racing,Street,DET,1
01:02.9,100,16,0,Scott Dixon,Chip Ganassi Racing,Street,DET,11
01:02.5,100,2,0,Scott McLaughlin,Team Penske,Street,DET,7
01:03.2,99,4,0,Scott McLaughlin,Team Penske,Street,DET,20
01:02.8,100,7,0,Scott McLaughlin,Team Penske,Street,DET,12
01:03.6,99,23,0,Sting Ray Robb,A.J. Foyt Enterprises,Street,DET,21
01:03.7,97,26,0,Sting Ray Robb,Dale Coyne Racing,Street,DET,22
01:03.0,100,26,0,Sting Ray Robb,Juncos Hollinger Racing,Street,DET,15
01:02.1,100,7,0,Will Power,Team Penske,Street,DET,2
01:03.2,100,8,0,Will Power,Team Penske,Street,DET,6
01:02.5,100,8,0,Will Power,Team Penske,Street,DET,4
01:11.9,74,2,0,Alex Palou,Chip Ganassi Racing,Road,GPI,18
01:11.9,85,7,0,Alex Palou,Chip Ganassi Racing,Road,GPI,10
01:11.3,85,3,0,Alex Palou,Chip Ganassi Racing,Road,GPI,1
01:12.8,85,8,0,Alex Palou,Chip Ganassi Racing,Road,GPI,7
01:11.1,85,1,0,Alex Palou,Chip Ganassi Racing,Road,GPI,1
01:11.5,85,1,0,Alex Palou,Chip Ganassi Racing,Road,GPI,1
01:12.7,75,16,0,Alexander Rossi,Andretti Global,Road,GPI,11
01:11.9,85,2,0,Alexander Rossi,Andretti Global,Road,GPI,1
01:11.7,85,10,0,Alexander Rossi,Arrow McLaren,Road,GPI,3
01:12.7,85,3,0,Alexander Rossi,Arrow McLaren,Road,GPI,5
01:11.8,85,7,0,Alexander Rossi,Arrow McLaren,Road,GPI,8
01:12.6,85,9,0,Alexander Rossi,Ed Carpenter Racing,Road,GPI,14
01:13.0,75,7,0,Callum Ilott,Juncos Hollinger Racing,Road,GPI,8
01:12.4,85,19,0,Callum Ilott,Juncos Hollinger Racing,Road,GPI,14
01:12.4,84,24,0,Callum Ilott,Juncos Hollinger Racing,Road,GPI,18
01:13.6,85,24,0,Callum Ilott,Juncos Hollinger Racing,Road,GPI,17
01:12.6,79,23,0,Callum Ilott,PREMA Racing,Road,GPI,22
01:12.3,85,14,0,Christian Lundgaard,Arrow McLaren,Road,GPI,16
01:12.9,75,8,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,GPI,9
01:12.0,85,6,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,GPI,2
01:11.8,85,1,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,GPI,4
01:12.8,85,2,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,GPI,4
01:11.4,85,2,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,GPI,3
01:11.8,85,20,0,Christian Rasmussen,Ed Carpenter Racing,Road,GPI,20
01:12.8,85,19,0,Christian Rasmussen,Ed Carpenter Racing,Road,GPI,19
01:11.9,64,13,1,Colton Herta,Andretti Global,Road,GPI,25
01:11.7,75,14,0,Colton Herta,Andretti Global,Road,GPI,1
01:11.9,42,9,1,Colton Herta,Andretti Global,Road,GPI,24
01:12.3,85,14,0,Colton Herta,Andretti Global,Road,GPI,9
01:13.1,85,11,0,Colton Herta,Andretti Global,Road,GPI,13
01:11.2,85,24,0,Colton Herta,Andretti Global,Road,GPI,7
01:11.9,75,4,0,Conor Daly,Ed Carpenter Racing,Road,GPI,5
01:11.7,85,10,0,Conor Daly,Ed Carpenter Racing,Road,GPI,17
01:13.1,84,21,0,Conor Daly,Ed Carpenter Racing,Road,GPI,19
01:12.3,85,22,0,Conor Daly,Juncos Hollinger Racing,Road,GPI,15
01:12.7,68,26,1,David Malukas,A.J. Foyt Enterprises,Road,GPI,23
01:13.4,75,24,0,David Malukas,Dale Coyne Racing,Road,GPI,12
01:12.0,85,11,0,David Malukas,Dale Coyne Racing,Road,GPI,13
01:18.2,2,20,1,David Malukas,Dale Coyne Racing,Road,GPI,26
01:13.5,85,27,0,David Malukas,Dale Coyne Racing,Road,GPI,16
01:12.0,73,17,0,Devlin DeFrancesco,Andretti Global,Road,GPI,21
01:12.8,85,14,0,Devlin DeFrancesco,Andretti Global,Road,GPI,18
01:12.5,84,15,0,Devlin DeFrancesco,Andretti Global,Road,GPI,17
01:13.6,84,5,0,Devlin DeFrancesco,Andretti Global,Road,GPI,19
01:12.5,85,5,0,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Road,GPI,17
01:12.1,75,6,0,Felix Rosenqvist,Arrow McLaren,Road,GPI,6
01:12.5,85,1,0,Felix Rosenqvist,Arrow McLaren,Road,GPI,9
01:12.0,85,2,0,Felix Rosenqvist,Arrow McLaren,Road,GPI,5
01:13.2,68,9,1,Felix Rosenqvist,Arrow McLaren,Road,GPI,27
