DriverName,DriverID,Rookie,DRFAvg,DTAvg,DTTAvg,DNFRate,TDNFRate,DriverElo,PositionStart,TeamName,TeamID,TRP,TTP,TeamDNFRate,TeamElo,EventName,Track,TrackID,EventTrackType,EventTrackTypeID,EventDate,EventDateFormatted,EventID,Era,EraID,Status,StatusID,FieldSize,PositionFinish,NormalizedPositionFinish
Mike Conway,3625,0,,,,,,1500,11,A.J. Foyt Enterprises,1,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,20,0.76
Marco Andretti,3608,0,,,,,,1500,7,Andretti Global,3,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,14,0.52
Ryan Hunter-Reay,3645,0,,,,,,1500,3,Andretti Global,3,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,3,0.08
Simona De Silvestro,3813,0,,,,,,1500,21,Andretti Global,3,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,24,0.92
James Hinchcliffe,4216,0,,,,,,1500,4,Andretti Global,3,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,4,0.12
Alex Tagliani,3675,0,,,,,,1500,17,Barracuda Racing,5,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,15,0.56
Scott Dixon,3628,0,,,,,,1500,6,Chip Ganassi Racing,9,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,2,0.04
Dario Franchitti,3636,0,,,,,,1500,9,Chip Ganassi Racing,9,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,13,0.48
Graham Rahal,3668,0,,,,,,1500,10,Chip Ganassi Racing,9,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,12,0.44
Charlie Kimball,4144,0,,,,,,1500,22,Chip Ganassi Racing,9,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,9,0.32
Justin Wilson,3682,0,,,,,,1500,15,Dale Coyne Racing,11,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,10,0.36
James Jakes,4236,0,,,,,,1500,20,Dale Coyne Racing,11,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,26,1
Sebastien Bourdais,4021,0,,,,,,1500,26,Dragon Racing,12,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,21,0.8
Katherine Legge,4401,1,,,,,,1500,25,Dragon Racing,12,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,23,0.88
Oriol Servia,3672,0,,,,,,1500,23,Dreyer & Reinbold Racing,14,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,16,0.6
Ed Carpenter,3620,0,,,,,,1500,24,Ed Carpenter Racing,15,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,18,0.68
Tony Kanaan,3648,0,,,,,,1500,8,KVSH Racing,17,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,25,0.96
E.J. Viso,3680,0,,,,,,1500,12,KVSH Racing,17,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,8,0.28
Rubens Barrichello,4407,1,,,,,,1500,13,KVSH Racing,17,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,17,0.64
JR Hildebrand,3736,0,,,,,,1500,18,Panther Racing,20,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,19,0.72
Takuma Sato,3811,0,,,,,,1500,14,Rahal Letterman Lanigan Racing,24,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,DNF,1,26,22,0.84
Josef Newgarden,4215,1,,,,,,1500,19,Sarah Fisher Hartman Racing,25,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,11,0.4
Simon Pagenaud,4276,1,,,,,,1500,16,Schmidt Hamilton HP Motorsports,26,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,6,0.2
Ryan Briscoe,3616,0,,,,,,1500,2,Team Penske,28,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,5,0.16
Helio Castroneves,3622,0,,,,,,1500,5,Team Penske,28,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,1,0
Will Power,3667,0,,,,,,1500,1,Team Penske,28,,,,1500,Honda Grand Prix Of St. Petersburg,Streets of St. Petersburg,21,Street,2,3/25/2012,"Sunday, March 25, 2012",2380,DW12 Era 2012-2017,0,Running,0,26,7,0.24
Mike Conway,3625,0,0.76,,,1,,1483.36,4,A.J. Foyt Enterprises,1,0.76,,1,1483.3846153846155,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,7,0.24
Marco Andretti,3608,0,0.52,,,0,,1498.72,13,Andretti Global,3,0.41000000000000003,,1,1509.2307692307693,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,11,0.4
Ryan Hunter-Reay,3645,0,0.08,,,0,,1526.88,11,Andretti Global,3,0.41000000000000003,,1,1509.2307692307693,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,12,0.44
Simona De Silvestro,3813,0,0.92,,,1,,1473.12,21,Andretti Global,3,0.41000000000000003,,1,1509.2307692307693,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,20,0.76
James Hinchcliffe,4216,0,0.12,,,0,,1524.32,2,Andretti Global,3,0.41000000000000003,,1,1509.2307692307693,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,6,0.2
Alex Tagliani,3675,0,0.56,,,0,,1496.16,25,Barracuda Racing,5,0.56,,0,1505.5384615384614,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,DNF,1,26,26,1
Scott Dixon,3628,0,0.04,,,0,,1529.44,3,Chip Ganassi Racing,9,0.32,,0,1516.6153846153845,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,2,0.04
Dario Franchitti,3636,0,0.48,,,0,,1501.28,18,Chip Ganassi Racing,9,0.32,,0,1516.6153846153845,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,10,0.36
Graham Rahal,3668,0,0.44,,,0,,1503.84,8,Chip Ganassi Racing,9,0.32,,0,1516.6153846153845,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,4,0.12
Charlie Kimball,4144,0,0.32,,,0,,1511.52,22,Chip Ganassi Racing,9,0.32,,0,1516.6153846153845,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,DNF,1,26,25,0.96
Justin Wilson,3682,0,0.36,,,0,,1508.96,19,Dale Coyne Racing,11,0.6799999999999999,,1,1494.4615384615386,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,19,0.72
James Jakes,4236,0,1,,,1,,1468,20,Dale Coyne Racing,11,0.6799999999999999,,1,1494.4615384615386,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,16,0.6
Sebastien Bourdais,4021,0,0.8,,,1,,1480.8,17,Dragon Racing,12,0.8400000000000001,,1,1476,Honda Indy Grand Prix of Alabama,Barber Motorsports Park,1,Road,1,4/1/2012,"Sunday, April 1, 2012",2381,DW12 Era 2012-2017,0,Running,0,26,9,0.32
