BestLapTime,LapsComplete,Status,PositionStart,BAR,DET,GPI,IND,IOW,LB,MIL,MOH,NAS,NASH,POR,R-AM,STL,STP,TEX,THRM,TOR,WRLS,R,O,Alex Palou,Alexander Rossi,Callum Ilott,Christian Lundgaard,Christian Rasmussen,Colton Herta,Conor Daly,David Malukas,Devlin DeFrancesco,Felix Rosenqvist,Graham Rahal,Jacob Abel,Josef Newgarden,Kyffin Simpson,Kyle Kirkwood,Louis Foster,Marcus Armstrong,Marcus Ericsson,Nolan Siegel,Pato O'Ward,Rinus VeeKay,Robert Shwartzman,Santino Ferrucci,Scott Dixon,Scott McLaughlin,Sting Ray Robb,Will Power,A.J. Foyt Enterprises,Andretti Global,Arrow McLaren,Chip Ganassi Racing,Dale Coyne Racing,Ed Carpenter Racing,Juncos Hollinger Racing,Meyer Shank Racing,PREMA Racing,Rahal Letterman Lanigan Racing,Team Penske,PositionFinish,Track 
01:10.8,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,WRLS
01:11.5,95,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,WRLS
01:11.7,95,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,WRLS
01:11.7,95,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,WRLS
01:11.8,95,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,WRLS
01:11.7,95,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,WRLS
01:11.8,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,WRLS
01:12.1,95,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,WRLS
01:11.7,95,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,WRLS
01:11.9,95,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,WRLS
01:12.1,95,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,WRLS
