BestLapTime,LapsComplete,Status,PositionStart,DriverID,TeamID,TrackID,TrackType,PositionFinish,,,
01:10.8,95,0,1,4931,4,18,1,1,,,
01:11.5,95,0,7,9999,3,18,1,2,,,
01:11.7,95,0,3,4511,2,18,1,3,,,
01:11.7,95,0,2,4559,3,18,1,4,,,
01:11.8,95,0,19,3628,4,18,1,5,,,
01:11.7,95,0,24,4939,9,18,1,6,,,
01:11.8,95,0,5,3667,11,18,1,7,,,
01:12.1,95,0,10,4948,8,18,1,8,,,
01:11.7,95,0,11,4920,6,18,1,9,,,
01:11.9,95,0,13,4932,11,18,1,10,,,
01:12.1,95,0,4,4215,11,18,1,11,,,
01:12.0,95,0,8,3668,10,18,1,12,,,
01:11.9,95,0,6,9999,1,18,1,13,,,
01:12.3,95,0,23,4218,7,18,1,14,,,
01:11.7,95,0,22,4587,6,18,1,15,,,
01:11.9,95,0,18,4623,2,18,1,16,,,
01:11.9,95,0,9,4949,10,18,1,17,,,
01:11.8,95,0,16,4915,3,18,1,18,,,
01:12.7,95,0,26,4613,7,18,1,19,,,
01:11.8,94,0,27,4940,10,18,1,20,,,
01:11.8,94,0,25,4981,9,18,1,21,,,
01:12.4,94,0,20,4897,1,18,1,22,,,
01:12.3,92,0,17,4614,5,18,1,23,,,
01:11.4,91,0,12,4588,8,18,1,24,,,
01:12.2,78,1,15,4905,2,18,1,25,,,
01:13.3,10,1,21,4644,5,18,1,26,,,
,0,1,14,4944,4,18,1,27,,,
01:02.2,90,0,10,4559,3,17,2,1,,,
01:02.3,90,0,9,4614,5,17,2,2,,,
01:02.1,90,0,13,4944,4,17,2,3,,,
01:01.7,90,0,1,4511,2,17,2,4,,,
01:02.3,90,0,8,4905,2,17,2,5,,,
01:02.1,90,0,6,4623,2,17,2,6,,,
01:02.6,90,0,5,3668,10,17,2,7,,,
01:02.0,90,0,11,4939,9,17,2,8,,,
01:02.0,90,0,15,4636,1,17,2,9,,,
01:02.5,90,0,17,3628,4,17,2,10,,,
01:02.3,90,0,4,3667,11,17,2,11,,,
01:01.8,90,0,2,4931,4,17,2,12,,,
01:02.5,90,0,19,4938,3,17,2,13,,,
01:02.8,90,0,3,4948,8,17,2,14,,,
01:03.1,90,0,21,4218,7,17,2,15,,,
01:01.9,90,0,20,4981,9,17,2,16,,,
01:03.3,89,0,25,4613,7,17,2,17,,,
01:02.7,87,1,12,4915,3,17,2,18,,,
01:02.4,86,1,16,4588,8,17,2,19,,,
01:02.5,82,0,22,4920,6,17,2,20,,,
01:02.3,67,0,7,4949,10,17,2,21,,,
01:02.5,57,0,26,4940,10,17,2,22,,,
01:03.7,36,1,27,4644,5,17,2,23,,,
01:02.7,36,1,18,4215,11,17,2,24,,,
01:03.1,29,1,24,4587,6,17,2,25,,,
01:08.5,2,1,14,4932,11,17,2,26,,,
,0,1,23,4897,1,17,2,27,,,
00:17.9,275,0,1,4931,4,5,0,1,,,
00:18.0,275,0,8,3628,4,5,0,2,,,
00:18.2,275,0,12,4948,8,5,0,3,,,
00:17.9,275,0,3,4636,1,5,0,4,,,
00:18.0,275,0,9,4559,3,5,0,5,,,
00:18.1,275,0,22,4938,3,5,0,6,,,
